"","id","imdb_id","release_date","runtime","title","vote_average","vote_count"
"15154",10138,"tt1228705","2010-04-28",124,"Iron Man 2",6.6,6969
"26559",99861,"tt2395427","2015-04-22",141,"Avengers: Age of Ultron",7.3,6908
"257",11,"tt0076759","1977-05-25",121,"Star Wars",8.1,6778
"22132",106646,"tt0993846","2013-12-25",180,"The Wolf of Wall Street",7.9,6768
"30316",150540,"tt2096673","2015-06-09",94,"Inside Out",7.9,6737
"19130",1930,"tt0948470","2012-06-27",136,"The Amazing Spider-Man",6.5,6734
"16975",10195,"tt0800369","2011-04-21",115,"Thor",6.6,6678
"22059",101299,"tt1951264","2013-11-15",146,"The Hunger Games: Catching Fire",7.4,6656
"13606",16869,"tt0361748","2009-08-18",153,"Inglourious Basterds",7.9,6598
"15473",20352,"tt1323594","2010-07-08",95,"Despicable Me",7.1,6595
"14826",11324,"tt1130884","2010-02-18",138,"Shutter Island",7.8,6559
"31866",281957,"tt1663202","2015-12-25",156,"The Revenant",7.3,6558
"21069",49521,"tt0770828","2013-06-12",143,"Man of Steel",6.5,6462
"12705",10681,"tt0910970","2008-06-22",98,"WALL·E",7.8,6439
"13747",18785,"tt1119646","2009-06-05",100,"The Hangover",7.2,6324
"42171",263115,"tt3315342","2017-02-28",137,"Logan",7.6,6310
"6233",12,"tt0266543","2003-05-30",100,"Finding Nemo",7.6,6292
"24456",177572,"tt2245084","2014-10-24",102,"Big Hero 6",7.8,6289
"1226",105,"tt0088763","1985-07-03",116,"Back to the Future",8,6239
"23360",127585,"tt1877832","2014-05-15",131,"X-Men: Days of Future Past",7.5,6155
"4757",585,"tt0198781","2001-11-01",92,"Monsters Inc.",7.5,6150
"17438",12445,"tt1201607","2011-07-07",130,"Harry Potter and the Deathly Hallows: Part 2",7.9,6141
"25535",207703,"tt2802144","2015-01-29",130,"Kingsman: The Secret Service",7.6,6069
"23359",240832,"tt2872732","2014-07-14",89,"Lucy",6.3,6048
"7726",673,"tt0304141","2004-05-31",141,"Harry Potter and the Prisoner of Azkaban",7.7,6037
"26563",102899,"tt0478970","2015-07-14",117,"Ant-Man",7,6029
"835",238,"tt0068646","1972-03-14",175,"The Godfather",8.5,6024
"23676",210577,"tt2267998","2014-10-01",145,"Gone Girl",7.9,6023
"1155",1891,"tt0080684","1980-05-17",124,"The Empire Strikes Back",8.2,5998
"5679",672,"tt0295297","2002-11-13",161,"Harry Potter and the Chamber of Secrets",7.4,5966
"47",807,"tt0114369","1995-09-22",127,"Se7en",8.1,5915
"19736",87827,"tt0454876","2012-11-20",127,"Life of Pi",7.2,5912
"24861",205596,"tt2084970","2014-11-14",113,"The Imitation Game",8,5895
"14558",10528,"tt0988045","2009-12-23",128,"Sherlock Holmes",7,5883
"23054",100402,"tt1843866","2014-03-20",136,"Captain America: The Winter Soldier",7.6,5881
"26569",284052,"tt1211837","2016-10-25",115,"Doctor Strange",7.1,5880
"21593",49047,"tt1454468","2013-09-27",91,"Gravity",7.3,5879
"24874",131631,"tt1951265","2014-11-18",123,"The Hunger Games: Mockingjay - Part 1",6.6,5767
"10555",674,"tt0330373","2005-11-05",157,"Harry Potter and the Goblet of Fire",7.5,5758
"40599",329865,"tt2543164","2016-11-10",113,"Arrival",7.2,5729
"16129",12444,"tt0926084","2010-10-17",146,"Harry Potter and the Deathly Hallows: Part 1",7.5,5708
"21131",72190,"tt0816711","2013-06-20",116,"World War Z",6.7,5683
"21026",75656,"tt1670345","2013-05-29",115,"Now You See Me",7.3,5635
"11928",675,"tt0373889","2007-06-28",138,"Harry Potter and the Order of the Phoenix",7.4,5633
"30402",259316,"tt3183660","2016-11-16",133,"Fantastic Beasts and Where to Find Them",7.2,5612
"3457",98,"tt0172495","2000-05-01",155,"Gladiator",7.9,5566
"24122",198663,"tt1790864","2014-09-10",113,"The Maze Runner",7,5540
"42223",321612,"tt2771200","2017-03-16",129,"Beauty and the Beast",6.8,5530
"360",8587,"tt0110357","1994-06-23",89,"The Lion King",8,5520
"24352",245891,"tt2911666","2014-10-22",101,"John Wick",7,5499
"22111",109445,"tt2294629","2013-11-27",102,"Frozen",7.3,5440
"13894",767,"tt0417741","2009-07-07",153,"Harry Potter and the Half-Blood Prince",7.4,5435
"1",862,"tt0114709","1995-10-30",81,"Toy Story",7.7,5415
"18466",77338,"tt1675434","2011-11-02",112,"The Intouchables",8.2,5410
"5216",557,"tt0145487","2002-05-01",121,"Spider-Man",6.8,5398
"11009",58,"tt0383574","2006-06-20",151,"Pirates of the Caribbean: Dead Man's Chest",7,5380
"8235",9806,"tt0317705","2004-11-05",115,"The Incredibles",7.4,5290
"20971",82992,"tt1905041","2013-05-06",130,"Fast & Furious 6",6.7,5282
"17218",49538,"tt1270798","2011-05-24",132,"X-Men: First Class",7.1,5252
"18996",70981,"tt1446714","2012-05-30",124,"Prometheus",6.3,5152
"1920",857,"tt0120815","1998-07-24",169,"Saving Private Ryan",7.9,5148
"41490",330459,"tt3748528","2016-12-14",133,"Rogue One: A Star Wars Story",7.4,5111
"11663",1271,"tt0416449","2006-12-09",117,"300",7,5092
"6726",24,"tt0266697","2003-10-10",111,"Kill Bill: Vol. 1",7.7,5091
"17125",1865,"tt1298650","2011-05-14",136,"Pirates of the Caribbean: On Stranger Tides",6.4,5068
